ts_start,ts_end,iteration,case,file_hits,net_hits,exec_hits,iouring_hits,wazuh_alerts,time_to_detect,path_hits
1766005083,1766005084,1,file_io_traditional,531,456,135,4,3,0,0
1766005109,1766005110,1,file_io_uring,5428,509,130,6,0,0,0
1766005154,1766005155,1,read_file_traditional,1818,482,113,0,2,0,0
1766005179,1766005192,1,openat_uring,4159,12031,96,9,13,0,0
1766005250,1766005251,1,net_connect_traditional,6887,481,160,0,0,0,-1
1766005283,1766005284,1,net_connect_uring,4260,109,118,6,0,0,-1
1766005325,1766005325,1,exec_cmd_traditional,3185,80,112,0,0,0,-1
1766005348,1766005363,2,file_io_traditional,8276,6509,190,0,8,0,0
1766005397,1766005400,2,file_io_uring,2698,2486,166,6,0,0,0
1766005449,1766005449,2,read_file_traditional,3834,2138,72,0,0,0,1
1766005501,1766005507,2,openat_uring,5048,9409,54,9,17,0,0
1766005580,1766005581,2,net_connect_traditional,3361,3699,66,0,3,0,-1
1766005641,1766005642,2,net_connect_uring,5526,388,0,6,0,0,-1
1766005679,1766005680,2,exec_cmd_traditional,6144,1005,136,0,0,0,-1
1766005704,1766005705,3,file_io_traditional,5044,257,108,0,0,0,0
1766005771,1766005771,3,file_io_uring,5371,773,118,6,0,0,0
1766005799,1766005799,3,read_file_traditional,4648,921,100,0,0,0,1
1766005816,1766005817,3,openat_uring,2869,618,54,9,0,0,0
1766005835,1766005839,3,net_connect_traditional,8131,1467,166,0,39,0,-1
1766005850,1766005855,3,net_connect_uring,7900,7343,90,6,0,0,-1
1766005880,1766005881,3,exec_cmd_traditional,5414,481,136,0,0,0,-1
1766005902,1766005903,4,file_io_traditional,5732,886,142,0,17,0,0
1766005936,1766005936,4,file_io_uring,4057,0,118,6,0,0,0
1766005952,1766005953,4,read_file_traditional,6662,1192,130,0,0,0,1
1766005970,1766005971,4,openat_uring,3,435,142,9,2,0,0
1766006002,1766006003,4,net_connect_traditional,5175,728,136,0,0,0,-1
1766006018,1766006019,4,net_connect_uring,8543,1724,130,6,0,0,-1
1766006036,1766006036,4,exec_cmd_traditional,2133,312,130,0,0,0,-1
1766006059,1766006063,5,file_io_traditional,8791,2845,148,0,3,0,0
1766006081,1766006081,5,file_io_uring,0,72,124,6,0,0,0
1766006092,1766006092,5,read_file_traditional,72,283,124,0,0,0,1
1766006102,1766006105,5,openat_uring,3869,6041,94,9,3,0,0
1766006149,1766006150,5,net_connect_traditional,2452,1171,124,0,16,0,-1
1766006161,1766006162,5,net_connect_uring,1920,509,148,6,3,0,-1
1766006186,1766006187,5,exec_cmd_traditional,3021,4098,106,0,0,0,-1
